Trump;Trump,TrumpWon,TPP,TrumpTrain,WeTrumpHate,RIP,BlacksForTrump,TeamTrump,AlwaysTrump,taxplan,ICYMI,Turkey,Frozen,UPUPUP,TitleIX,StanleyCup,CA4Trump,NeverDems,TRUMP,Trump360,HRC4PA,trump,Mormon,Utah4Trump,TrumpWaikiki,TRUMPDOG,CaucusForTrump,Greta,TrumpLV,TrumpNV,CruzFraud,CaucusForTrump11am,WeWantTrump,TedCruz,Cruz,Rubio;0,3,3,5,6,3,9,4,6,6,4,4,5,4,6,8,3,7,0,3,4,0,5,5,7,3,9,4,2,2,7,13,6,5,3,4
USA;USA,hashtags,MAGA,ISIS,ADA,UNGA,LESM,media,NPS100,DACA,TBT,2A,TeamUSA,MSM,DNC,NATO,LGBT,Pulse,WCS16,Olmstead,Elkhart,MDW,UAW,GOP,APAHM,FNS,LSSC,Wausau,Utah,UT,CNN,Fox,FAIL,NASCAR,FITN,SB50,Iowa,YUGE,RNC;0,6,3,3,2,2,3,4,5,3,3,2,4,2,3,4,4,3,4,6,6,3,2,3,4,3,3,3,2,2,3,3,4,4,4,4,3,3,3
debatenight;debatenight,Debates2016,DebateNight,TheTonightShow,FallonTonight,WeMadeHistory,fixdemocracyfirst,NeverForget;0,5,0,9,7,9,12,8
WeAreBernie;WeAreBernie,OpioidAwarenessWeek,BlackMenForBernie,RNCwithBernie,CitizensUnited,FeelTheBern,WestVirginia,Charleston9,NetNeutrality,jenniferrubin,SmallBizWeek;0,14,9,7,10,7,8,8,9,9,9
MakeAmericaGreatAgain;MakeAmericaGreatAgain,MakeAmericaGreatAgainHillaryClinton,MakeAmericaGreatAgainTickets,MakeAmericaSafeAgain,MakeAmericaGreatAgainVideo,MakeAmericaGreatAgainWatch,MAKEAMERICAGREATAGAIN,MakeYoutubeGreatAgain,makeamericagreatagain,AmericaGreatAgain;0,14,7,5,5,5,0,7,0,4
CAPrimary;CAPrimary,AmericaFirst,NeverHillary,CrookedHillary,WheresHillary,CoastGuardDay,campaignfinance,CreatorsAskHRC,Caribbean,ActOnClimate,AmericaFIRST,ORPrimary,NebraskaPrimary,MadeForHistory,INPrimary,INDPrimary,CTPrimary,DEPrimary,PAPrimary,RIPrimary,NYPrimary,PrimaryDay,primary,NYPrimary4,NYPrimaryTickets,WIPrimary,ArizonaPrimary,AZPrimary,WattersWorld,UtahPrimary,GOPDebate,LittleMarco,SCPrimary,Carrier,SouthCarolinaPrimary,NHPrimary,GOPdebate,MaryBrigidMcManamon;0,8,7,9,8,8,10,10,6,8,8,2,7,9,2,3,1,2,1,2,2,5,2,3,9,2,6,2,9,3,7,8,2,4,11,2,7,14
VoteTrump;VoteTrump,VoterRegistrationDay,NBCNewsForum,DivoDeJuarez,GoodTrouble,NeverTrump,VoterFraud,goodtrouble,veterans,VoteTrump2016,Women4Ttump,Teachers4Trump,MothersDay,VoteTrumpNY,presidenttrump,DonaldTrump,VoteTrumpWI,WOMEN4TRUMP,NeverCruz,voteTrump,VoteTrumpMI,RobotRubio,LoneStarState,VoteTrumpNV,VoteTrumpVT,VoteTrumpMITrump,VoteTrumpMA,VoteTrumpIL,BikersForTrump,SouthCarolina,MaitnerStrong,VoteTrumpNH,VotersSpeak;0,14,9,9,7,4,5,7,5,4,5,8,7,2,8,5,2,4,7,0,2,6,9,2,2,7,2,2,8,10,9,2,6
NoBillNoBreak;NoBillNoBreak;0
SCOTUS;SCOTUS,SheWon,POTUS,FirstInPOTUS,sitin,AsLongAsItTakes,EstoyConElla,iVoted,Wisconsin,WISCONSIN,UtahCaucus,UTCaucus,KansasCaucus,NVcaucus,NevadaCaucus,IACaucus,IowaCaucus,ECONOMY,CBNNews,SOTU;0,5,2,7,4,11,9,4,6,6,7,5,8,5,9,5,7,5,6,2
imwithher;imwithher,ImWithYou,iRegistered,ImWithHer,ImWithYouVideo,ImWithHernandez,StandTogether,imwithyou,Imwithyou,Filibuster,WIBackHer,MichaelBrown,JohnRyder;0,3,7,0,7,6,9,3,3,7,6,9,7
